,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
58382,em,O,4334,139,141,359,4,treino
58383,Barris,B-RECIPIENTE_ARMAZENAMENTO,4334,142,148,359,4,treino
58384,de,O,4334,149,151,359,4,treino
58385,Umburana,B-TIPO_MADEIRA,4334,152,160,359,4,treino
58386,",",O,4334,160,161,359,4,treino
58387,cujo,O,4334,162,166,359,4,treino
58388,processo,O,4334,167,175,359,4,treino
58389,lhe,O,4334,176,179,359,4,treino
58390,adiciona,O,4334,180,188,359,4,treino
58391,uma,O,4334,189,192,359,4,treino
58392,coloração,O,4334,193,202,359,4,treino
58393,amarelo,B-CARACTERISTICA_SENSORIAL_COR,4334,203,210,359,4,treino
58394,âmbar,I-CARACTERISTICA_SENSORIAL_COR,4334,211,216,359,4,treino
58395,e,O,4334,217,218,359,4,treino
58396,na,O,4334,219,221,359,4,treino
58397,taça,O,4334,222,226,359,4,treino
58398,se,O,4334,227,229,359,4,treino
58399,apresenta,O,4334,230,239,359,4,treino
58400,límpida,B-CARACTERISTICA_SENSORIAL_COR,4334,240,247,359,4,treino
58401,",",O,4334,247,248,359,4,treino
58402,brilhante,B-CARACTERISTICA_SENSORIAL_COR,4334,249,258,359,4,treino
58403,e,O,4334,259,260,359,4,treino
58404,surpreendentemente,O,4334,261,279,359,4,treino
58405,encorpada,B-CARACTERISTICA_SENSORIAL_SABOR,4334,280,289,359,4,treino
58406,.,O,4334,289,290,359,4,treino
58407,A,O,4335,0,1,359,4,treino
58408,sensação,O,4335,2,10,359,4,treino
58409,aromática,O,4335,11,20,359,4,treino
58410,é,O,4335,21,22,359,4,treino
58411,de,O,4335,23,25,359,4,treino
58412,pouquíssimo,B-CARACTERISTICA_SENSORIAL_AROMA,4335,26,37,359,4,treino
58413,álcool,I-CARACTERISTICA_SENSORIAL_AROMA,4335,38,44,359,4,treino
58414,",",O,4335,44,45,359,4,treino
58415,prevalecendo,O,4335,46,58,359,4,treino
58416,um,O,4335,59,61,359,4,treino
58417,aroma,O,4335,62,67,359,4,treino
58418,suave,O,4335,68,73,359,4,treino
58419,e,O,4335,74,75,359,4,treino
58420,adocicado,O,4335,76,85,359,4,treino
58421,de,O,4335,86,88,359,4,treino
58422,mel,B-CARACTERISTICA_SENSORIAL_AROMA,4335,89,92,359,4,treino
58423,",",O,4335,92,93,359,4,treino
58424,com,O,4335,94,97,359,4,treino
58425,notas,O,4335,98,103,359,4,treino
58426,de,O,4335,104,106,359,4,treino
58427,especiarias,O,4335,107,118,359,4,treino
58428,",",O,4335,118,119,359,4,treino
58429,como,O,4335,120,124,359,4,treino
58430,canela,B-CARACTERISTICA_SENSORIAL_AROMA,4335,125,131,359,4,treino
58431,e,O,4335,132,133,359,4,treino
58432,cravo,B-CARACTERISTICA_SENSORIAL_AROMA,4335,134,139,359,4,treino
58433,da,I-CARACTERISTICA_SENSORIAL_AROMA,4335,140,142,359,4,treino
58434,Índia,I-CARACTERISTICA_SENSORIAL_AROMA,4335,143,148,359,4,treino
58435,.,O,4335,148,149,359,4,treino
58436,Deixa,O,4336,0,5,359,4,treino
58437,na,O,4336,6,8,359,4,treino
58438,boca,O,4336,9,13,359,4,treino
58439,uma,O,4336,14,17,359,4,treino
58440,sensação,O,4336,18,26,359,4,treino
58441,aveludada,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,4336,27,36,359,4,treino
58442,e,O,4336,37,38,359,4,treino
58443,um,O,4336,39,41,359,4,treino
58444,sabor,O,4336,42,47,359,4,treino
58445,inicial,O,4336,48,55,359,4,treino
58446,adocicado,B-CARACTERISTICA_SENSORIAL_SABOR,4336,56,65,359,4,treino
58447,da,I-CARACTERISTICA_SENSORIAL_SABOR,4336,66,68,359,4,treino
58448,madeira,I-CARACTERISTICA_SENSORIAL_SABOR,4336,69,76,359,4,treino
58449,que,O,4336,77,80,359,4,treino
58450,se,O,4336,81,83,359,4,treino
58451,estende,O,4336,84,91,359,4,treino
58452,para,O,4336,92,96,359,4,treino
58453,um,O,4336,97,99,359,4,treino
58454,retrogosto,O,4336,100,110,359,4,treino
58455,agradável,O,4336,111,120,359,4,treino
58456,de,O,4336,121,123,359,4,treino
58457,intensidade,O,4336,124,135,359,4,treino
58458,moderada,O,4336,136,144,359,4,treino
58459,.,O,4336,144,145,359,4,treino
58460,Uma,O,4337,0,3,359,4,treino
58461,ótima,O,4337,4,9,359,4,treino
58462,cachaça,O,4337,10,17,359,4,treino
58463,para,O,4337,18,22,359,4,treino
58464,ser,O,4337,23,26,359,4,treino
58465,degustada,O,4337,27,36,359,4,treino
58466,gelada,O,4337,37,43,359,4,treino
58467,!,O,4337,43,44,359,4,treino
58468,Origem,O,4338,0,6,359,4,treino
58469,:,O,4338,6,7,359,4,treino
58470,Caravelas,B-NOME_LOCAL,4338,8,17,359,4,treino
58471,-,O,4338,18,19,359,4,treino
58472,Medeiros,B-NOME_LOCAL,4338,20,28,359,4,treino
58473,Neto,I-NOME_LOCAL,4338,29,33,359,4,treino
58474,/,O,4338,34,35,359,4,treino
58475,BA,B-NOME_LOCAL,4338,36,38,359,4,treino
58476,Madeira,O,4338,39,46,359,4,treino
58477,:,O,4338,46,47,359,4,treino
58478,Amburana,B-TIPO_MADEIRA,4338,48,56,359,4,treino
58479,Envelhecimento,O,4338,57,71,359,4,treino
58480,:,O,4338,71,72,359,4,treino
58481,2,B-TEMPO_ARMAZENAMENTO,4338,73,74,359,4,treino
58482,anos,I-TEMPO_ARMAZENAMENTO,4338,75,79,359,4,treino
58483,Grad,O,4338,80,84,359,4,treino
58484,.,O,4338,84,85,359,4,treino
58485,Alcoólica,O,4339,0,9,359,4,treino
58486,:,O,4339,9,10,359,4,treino
58487,42%,B-GRADUACAO_ALCOOLICA,4339,11,14,359,4,treino
58488,Volume,O,4339,15,21,359,4,treino
58489,:,O,4339,21,22,359,4,treino
58490,680,B-VOLUME,4339,23,26,359,4,treino
58491,ml,I-VOLUME,4339,27,29,359,4,treino
58492,Volume,O,4340,0,6,359,4,treino
58493,:,O,4340,6,7,359,4,treino
58494,680,B-VOLUME,4340,8,11,359,4,treino
58495,ml,I-VOLUME,4340,12,14,359,4,treino
58496,RECIPIENTE,O,4341,0,10,359,4,treino
58497,DE,O,4341,11,13,359,4,treino
58498,ARMAZENAMENTO,O,4341,14,27,359,4,treino
58499,:,O,4341,27,28,359,4,treino
58500,Amburana,B-TIPO_MADEIRA,4341,29,37,359,4,treino
58501,LOCAL,O,4342,0,5,359,4,treino
58502,DE,O,4342,6,8,359,4,treino
58503,PRODUÇÃO,O,4342,9,17,359,4,treino
58504,:,O,4342,17,18,359,4,treino
58505,Caravelas,B-NOME_LOCAL,4342,19,28,359,4,treino
58506,-,O,4342,29,30,359,4,treino
58507,Medeiros,B-NOME_LOCAL,4342,31,39,359,4,treino
58508,Neto,I-NOME_LOCAL,4342,40,44,359,4,treino
58509,/,O,4342,45,46,359,4,treino
58510,BA,B-NOME_LOCAL,4342,47,49,359,4,treino
58511,TEMPO,O,4343,0,5,359,4,treino
58512,DE,O,4343,6,8,359,4,treino
58513,ARMAZENAMENTO,O,4343,9,22,359,4,treino
58514,:,O,4343,22,23,359,4,treino
58515,2,B-TEMPO_ARMAZENAMENTO,4343,24,25,359,4,treino
58516,anos,I-TEMPO_ARMAZENAMENTO,4343,26,30,359,4,treino
58517,NOME,O,4477,0,4,373,4,treino
58518,DA,O,4477,5,7,373,4,treino
58519,CACHAÇA,O,4477,8,15,373,4,treino
58520,:,O,4477,15,16,373,4,treino
58521,Cachaça,O,4477,17,24,373,4,treino
58522,Artesanal,O,4477,25,34,373,4,treino
58523,Xanadu,B-NOME_BEBIDA,4477,35,41,373,4,treino
58524,Blend,B-CLASSIFICACAO_BEBIDA,4477,42,47,373,4,treino
58525,Linha,O,4477,48,53,373,4,treino
58526,Madeiras,O,4477,54,62,373,4,treino
58527,Bálsamo,B-TIPO_MADEIRA,4477,63,70,373,4,treino
58528,670,B-VOLUME,4477,71,74,373,4,treino
58529,ml,I-VOLUME,4477,75,77,373,4,treino
58530,PREÇO,O,4478,0,5,373,4,treino
58531,:,O,4478,5,6,373,4,treino
58532,R$99,B-PRECO,4478,7,11,373,4,treino
58533,",",I-PRECO,4478,11,12,373,4,treino
58534,0,I-PRECO,4478,12,14,373,4,treino
58535,DESCRIÇÃO,O,4479,0,9,373,4,treino
58536,DA,O,4479,10,12,373,4,treino
58537,CACHAÇA,O,4479,13,20,373,4,treino
58538,:,O,4479,20,21,373,4,treino
58539,Cachaça,O,4479,22,29,373,4,treino
58540,Artesanal,O,4479,30,39,373,4,treino
58541,Xanadu,B-NOME_BEBIDA,4479,40,46,373,4,treino
58542,Blend,B-CLASSIFICACAO_BEBIDA,4479,47,52,373,4,treino
58543,Linha,O,4479,53,58,373,4,treino
58544,Madeiras,O,4479,59,67,373,4,treino
58545,Bálsamo,B-TIPO_MADEIRA,4479,68,75,373,4,treino
58546,670,B-VOLUME,4479,76,79,373,4,treino
58547,ml,I-VOLUME,4479,80,82,373,4,treino
58548,www,O,4479,83,86,373,4,treino
58549,.,O,4479,86,87,373,4,treino
58550,cachacaepresente,O,4479,87,103,373,4,treino
58551,.,O,4479,103,104,373,4,treino
58552,com,O,4479,104,107,373,4,treino
58553,.,O,4479,107,108,373,4,treino
58554,br,O,4479,108,110,373,4,treino
58555,Origem,O,4479,111,117,373,4,treino
58556,:,O,4479,117,118,373,4,treino
58557,Blumenau,B-NOME_LOCAL,4479,119,127,373,4,treino
58558,-,O,4479,128,129,373,4,treino
58559,SC,B-NOME_LOCAL,4479,130,132,373,4,treino
58560,.,O,4479,132,133,373,4,treino
58561,Volume,O,4480,0,6,373,4,treino
58562,:,O,4480,6,7,373,4,treino
58563,670,B-VOLUME,4480,8,11,373,4,treino
58564,ml,I-VOLUME,4480,12,14,373,4,treino
58565,Grad,O,4480,15,19,373,4,treino
58566,.,O,4480,19,20,373,4,treino
58567,Alc,O,4481,0,3,373,4,treino
58568,:,O,4481,3,4,373,4,treino
58569,39%,B-GRADUACAO_ALCOOLICA,4481,5,8,373,4,treino
58570,Cachaça,O,4481,9,16,373,4,treino
58571,Artesanal,O,4481,17,26,373,4,treino
58572,Xanadu,B-NOME_BEBIDA,4481,27,33,373,4,treino
58573,Bálsamo,B-TIPO_MADEIRA,4481,34,41,373,4,treino
58574,é,O,4481,42,43,373,4,treino
58575,típica,O,4481,44,50,373,4,treino
58576,madeira,O,4481,51,58,373,4,treino
58577,da,O,4481,59,61,373,4,treino
58578,floresta,O,4481,62,70,373,4,treino
58579,tropical,O,4481,71,79,373,4,treino
58580,",",O,4481,79,80,373,4,treino
58581,o,O,4481,81,82,373,4,treino
58582,Bálsamo,B-TIPO_MADEIRA,4481,83,90,373,4,treino
58583,",",O,4481,90,91,373,4,treino
58584,é,O,4481,92,93,373,4,treino
58585,considerada,O,4481,94,105,373,4,treino
58586,leve,O,4481,106,110,373,4,treino
58587,e,O,4481,111,112,373,4,treino
58588,resistente,O,4481,113,123,373,4,treino
58589,",",O,4481,123,124,373,4,treino
58590,esta,O,4481,125,129,373,4,treino
58591,confere,O,4481,130,137,373,4,treino
58592,a,O,4481,138,139,373,4,treino
58593,coloração,O,4481,140,149,373,4,treino
58594,dourada,B-CARACTERISTICA_SENSORIAL_COR,4481,150,157,373,4,treino
58595,a,O,4481,158,159,373,4,treino
58596,cachaça,O,4481,160,167,373,4,treino
58597,.,O,4481,167,168,373,4,treino
58598,O,O,4482,0,1,373,4,treino
58599,Bálsamo,B-TIPO_MADEIRA,4482,2,9,373,4,treino
58600,torna,O,4482,10,15,373,4,treino
58601,a,O,4482,16,17,373,4,treino
58602,cachaça,O,4482,18,25,373,4,treino
58603,marcante,O,4482,26,34,373,4,treino
58604,e,O,4482,35,36,373,4,treino
58605,encorpada,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,4482,37,46,373,4,treino
58606,.,O,4482,46,47,373,4,treino
58607,Harmoniza,O,4483,0,9,373,4,treino
58608,com,O,4483,10,13,373,4,treino
58609,carnes,O,4483,14,20,373,4,treino
58610,e,O,4483,21,22,373,4,treino
58611,chocolates,O,4483,23,33,373,4,treino
58612,",",O,4483,33,34,373,4,treino
58613,além,O,4483,35,39,373,4,treino
58614,de,O,4483,40,42,373,4,treino
58615,ser,O,4483,43,46,373,4,treino
58616,um,O,4483,47,49,373,4,treino
58617,excelente,O,4483,50,59,373,4,treino
58618,digestivo,O,4483,60,69,373,4,treino
58619,.,O,4483,69,70,373,4,treino
58620,Volume,O,4484,0,6,373,4,treino
58621,:,O,4484,6,7,373,4,treino
58622,670,B-VOLUME,4484,8,11,373,4,treino
58623,ml,I-VOLUME,4484,12,14,373,4,treino
58624,LOCAL,O,4485,0,5,373,4,treino
58625,DE,O,4485,6,8,373,4,treino
58626,PRODUÇÃO,O,4485,9,17,373,4,treino
58627,:,O,4485,17,18,373,4,treino
58628,Blumenau,B-NOME_LOCAL,4485,19,27,373,4,treino
58629,-,O,4485,28,29,373,4,treino
58630,SC,B-NOME_LOCAL,4485,30,32,373,4,treino
58631,.,O,4485,32,33,373,4,treino
58632,NOME,O,4685,0,4,400,4,treino
58633,DA,O,4685,5,7,400,4,treino
58634,CACHAÇA,O,4685,8,15,400,4,treino
58635,:,O,4685,15,16,400,4,treino
58636,Cachaça,O,4685,17,24,400,4,treino
58637,Barra,B-NOME_BEBIDA,4685,25,30,400,4,treino
58638,Grande,I-NOME_BEBIDA,4685,31,37,400,4,treino
58639,Ouro,B-CLASSIFICACAO_BEBIDA,4685,38,42,400,4,treino
58640,PREÇO,O,4686,0,5,400,4,treino
58641,:,O,4686,5,6,400,4,treino
58642,R$,B-PRECO,4686,7,9,400,4,treino
58643,70,I-PRECO,4686,10,12,400,4,treino
58644,",",I-PRECO,4686,12,13,400,4,treino
58645,50,I-PRECO,4686,13,15,400,4,treino
58646,DESCRIÇÃO,O,4687,0,9,400,4,treino
58647,DA,O,4687,10,12,400,4,treino
58648,CACHAÇA,O,4687,13,20,400,4,treino
58649,:,O,4687,20,21,400,4,treino
58650,A,O,4687,22,23,400,4,treino
58651,Cahaça,O,4687,24,30,400,4,treino
58652,Barra,B-NOME_BEBIDA,4687,31,36,400,4,treino
58653,Grande,I-NOME_BEBIDA,4687,37,43,400,4,treino
58654,Ouro,B-CLASSIFICACAO_BEBIDA,4687,44,48,400,4,treino
58655,é,O,4687,49,50,400,4,treino
58656,um,O,4687,51,53,400,4,treino
58657,verdadeiro,O,4687,54,64,400,4,treino
58658,primor,O,4687,65,71,400,4,treino
58659,em,O,4687,72,74,400,4,treino
58660,termos,O,4687,75,81,400,4,treino
58661,de,O,4687,82,84,400,4,treino
58662,sabor,O,4687,85,90,400,4,treino
58663,.,O,4687,90,91,400,4,treino
58664,Envelhecida,O,4688,0,11,400,4,treino
58665,em,O,4688,12,14,400,4,treino
58666,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4688,15,21,400,4,treino
58667,de,O,4688,22,24,400,4,treino
58668,carvalho,B-TIPO_MADEIRA,4688,25,33,400,4,treino
58669,para,O,4688,34,38,400,4,treino
58670,desenvolver,O,4688,39,50,400,4,treino
58671,um,O,4688,51,53,400,4,treino
58672,sabor,O,4688,54,59,400,4,treino
58673,sublime,O,4688,60,67,400,4,treino
58674,e,O,4688,68,69,400,4,treino
58675,perfeito,O,4688,70,78,400,4,treino
58676,",",O,4688,78,79,400,4,treino
58677,esse,O,4688,80,84,400,4,treino
58678,destilado,O,4688,85,94,400,4,treino
58679,vem,O,4688,95,98,400,4,treino
58680,se,O,4688,99,101,400,4,treino
58681,tornando,O,4688,102,110,400,4,treino
58682,ao,O,4688,111,113,400,4,treino
58683,longo,O,4688,114,119,400,4,treino
58684,dos,O,4688,120,123,400,4,treino
58685,anos,O,4688,124,128,400,4,treino
58686,uma,O,4688,129,132,400,4,treino
58687,verdadeira,O,4688,133,143,400,4,treino
58688,lenda,O,4688,144,149,400,4,treino
58689,das,O,4688,150,153,400,4,treino
58690,grandes,O,4688,154,161,400,4,treino
58691,safras,O,4688,162,168,400,4,treino
58692,brasileiras,O,4688,169,180,400,4,treino
58693,.,O,4688,180,181,400,4,treino
58694,Feche,O,4689,0,5,400,4,treino
58695,os,O,4689,6,8,400,4,treino
58696,olhos,O,4689,9,14,400,4,treino
58697,e,O,4689,15,16,400,4,treino
58698,beba,O,4689,17,21,400,4,treino
58699,aos,O,4689,22,25,400,4,treino
58700,poucos,O,4689,26,32,400,4,treino
58701,a,O,4689,33,34,400,4,treino
58702,Cahaça,O,4689,35,41,400,4,treino
58703,Barra,B-NOME_BEBIDA,4689,42,47,400,4,treino
58704,Grande,I-NOME_BEBIDA,4689,48,54,400,4,treino
58705,Ouro,B-CLASSIFICACAO_BEBIDA,4689,55,59,400,4,treino
58706,e,O,4689,60,61,400,4,treino
58707,eleve,O,4689,62,67,400,4,treino
58708,-,O,4689,67,68,400,4,treino
58709,se,O,4689,68,70,400,4,treino
58710,ao,O,4689,71,73,400,4,treino
58711,sabor,O,4689,74,79,400,4,treino
58712,supremo,O,4689,80,87,400,4,treino
58713,.,O,4689,87,88,400,4,treino
58714,Cahaça,O,4690,0,6,400,4,treino
58715,Barra,B-NOME_BEBIDA,4690,7,12,400,4,treino
58716,Grande,I-NOME_BEBIDA,4690,13,19,400,4,treino
58717,Ouro,B-CLASSIFICACAO_BEBIDA,4690,20,24,400,4,treino
58718,vai,O,4690,25,28,400,4,treino
58719,ser,O,4690,29,32,400,4,treino
58720,uma,O,4690,33,36,400,4,treino
58721,grande,O,4690,37,43,400,4,treino
58722,estrela,O,4690,44,51,400,4,treino
58723,do,O,4690,52,54,400,4,treino
58724,seu,O,4690,55,58,400,4,treino
58725,universo,O,4690,59,67,400,4,treino
58726,de,O,4690,68,70,400,4,treino
58727,bebidas,O,4690,71,78,400,4,treino
58728,.,O,4690,78,79,400,4,treino
58729,NOME,O,4778,0,4,412,4,treino
58730,DA,O,4778,5,7,412,4,treino
58731,CACHAÇA,O,4778,8,15,412,4,treino
58732,:,O,4778,15,16,412,4,treino
58733,Cachaça,O,4778,17,24,412,4,treino
58734,Box,B-NOME_BEBIDA,4778,25,28,412,4,treino
58735,32,I-NOME_BEBIDA,4778,29,31,412,4,treino
58736,Ouro,B-CLASSIFICACAO_BEBIDA,4778,32,36,412,4,treino
58737,Porcelana,O,4778,37,46,412,4,treino
58738,PREÇO,O,4779,0,5,412,4,treino
58739,:,O,4779,5,6,412,4,treino
58740,R$,B-PRECO,4779,7,9,412,4,treino
58741,85,I-PRECO,4779,10,12,412,4,treino
58742,",",I-PRECO,4779,12,13,412,4,treino
58743,0,I-PRECO,4779,13,15,412,4,treino
58744,DESCRIÇÃO,O,4780,0,9,412,4,treino
58745,DA,O,4780,10,12,412,4,treino
58746,CACHAÇA,O,4780,13,20,412,4,treino
58747,:,O,4780,20,21,412,4,treino
58748,Cachaça,O,4780,22,29,412,4,treino
58749,de,O,4780,30,32,412,4,treino
58750,Luiz,B-NOME_LOCAL,4780,33,37,412,4,treino
58751,Alves,I-NOME_LOCAL,4780,38,43,412,4,treino
58752,",",O,4780,43,44,412,4,treino
58753,Santa,B-NOME_LOCAL,4780,45,50,412,4,treino
58754,Catarina,I-NOME_LOCAL,4780,51,59,412,4,treino
58755,",",O,4780,59,60,412,4,treino
58756,produzida,O,4780,61,70,412,4,treino
58757,a,O,4780,71,72,412,4,treino
58758,partir,O,4780,73,79,412,4,treino
58759,de,O,4780,80,82,412,4,treino
58760,cana,O,4780,83,87,412,4,treino
58761,-,O,4780,87,88,412,4,treino
58762,de,O,4780,88,90,412,4,treino
58763,-,O,4780,90,91,412,4,treino
58764,açúcar,O,4780,91,97,412,4,treino
58765,selecionada,O,4780,98,109,412,4,treino
58766,",",O,4780,109,110,412,4,treino
58767,destilada,O,4780,111,120,412,4,treino
58768,em,O,4780,121,123,412,4,treino
58769,alambiques,B-EQUIPAMENTO_DESTILACAO,4780,124,134,412,4,treino
58770,de,I-EQUIPAMENTO_DESTILACAO,4780,135,137,412,4,treino
58771,cobre,I-EQUIPAMENTO_DESTILACAO,4780,138,143,412,4,treino
58772,e,O,4780,144,145,412,4,treino
58773,armazenada,O,4780,146,156,412,4,treino
58774,em,O,4780,157,159,412,4,treino
58775,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4780,160,166,412,4,treino
58776,de,O,4780,167,169,412,4,treino
58777,carvalho,B-TIPO_MADEIRA,4780,170,178,412,4,treino
58778,.,O,4780,178,179,412,4,treino
58779,Graduação,O,4781,0,9,412,4,treino
58780,alcoólica,O,4781,10,19,412,4,treino
58781,38,B-GRADUACAO_ALCOOLICA,4781,20,22,412,4,treino
58782,.,I-GRADUACAO_ALCOOLICA,4781,22,23,412,4,treino
58783,0%,I-GRADUACAO_ALCOOLICA,4781,23,25,412,4,treino
58784,vol,O,4781,26,29,412,4,treino
58785,.,O,4781,29,30,412,4,treino
58786,com,O,4781,30,33,412,4,treino
58787,700,B-VOLUME,4781,34,37,412,4,treino
58788,ml,I-VOLUME,4781,38,40,412,4,treino
58789,.,O,4781,40,41,412,4,treino
58790,Envelhecida,O,4782,0,11,412,4,treino
58791,por,O,4782,12,15,412,4,treino
58792,5,B-TEMPO_ARMAZENAMENTO,4782,16,17,412,4,treino
58793,anos,I-TEMPO_ARMAZENAMENTO,4782,18,22,412,4,treino
58794,NOME,O,4905,0,4,432,4,treino
58795,DA,O,4905,5,7,432,4,treino
58796,CACHAÇA,O,4905,8,15,432,4,treino
58797,:,O,4905,15,16,432,4,treino
58798,Cachaça,O,4905,17,24,432,4,treino
58799,Canana,B-NOME_BEBIDA,4905,25,31,432,4,treino
58800,PREÇO,O,4906,0,5,432,4,treino
58801,:,O,4906,5,6,432,4,treino
58802,R$,B-PRECO,4906,7,9,432,4,treino
58803,55,I-PRECO,4906,10,12,432,4,treino
58804,",",I-PRECO,4906,12,13,432,4,treino
58805,0,I-PRECO,4906,13,15,432,4,treino
58806,DESCRIÇÃO,O,4907,0,9,432,4,treino
58807,DA,O,4907,10,12,432,4,treino
58808,CACHAÇA,O,4907,13,20,432,4,treino
58809,:,O,4907,20,21,432,4,treino
58810,A,O,4907,22,23,432,4,treino
58811,Cachaça,O,4907,24,31,432,4,treino
58812,Canana,B-NOME_BEBIDA,4907,32,38,432,4,treino
58813,é,O,4907,39,40,432,4,treino
58814,uma,O,4907,41,44,432,4,treino
58815,bebida,O,4907,45,51,432,4,treino
58816,verdadeiramente,O,4907,52,67,432,4,treino
58817,brasileira,O,4907,68,78,432,4,treino
58818,",",O,4907,78,79,432,4,treino
58819,que,O,4907,80,83,432,4,treino
58820,leva,O,4907,84,88,432,4,treino
58821,em,O,4907,89,91,432,4,treino
58822,sua,O,4907,92,95,432,4,treino
58823,composição,O,4907,96,106,432,4,treino
58824,dois,O,4907,107,111,432,4,treino
58825,produtos,O,4907,112,120,432,4,treino
58826,intimamente,O,4907,121,132,432,4,treino
58827,ligados,O,4907,133,140,432,4,treino
58828,à,O,4907,141,142,432,4,treino
58829,cultura,O,4907,143,150,432,4,treino
58830,de,O,4907,151,153,432,4,treino
58831,nosso,O,4907,154,159,432,4,treino
58832,país,O,4907,160,164,432,4,treino
58833,.,O,4907,164,165,432,4,treino
58834,É,O,4908,0,1,432,4,treino
58835,exclusivamente,O,4908,2,16,432,4,treino
58836,feita,O,4908,17,22,432,4,treino
58837,com,O,4908,23,26,432,4,treino
58838,produtos,O,4908,27,35,432,4,treino
58839,naturais,O,4908,36,44,432,4,treino
58840,",",O,4908,44,45,432,4,treino
58841,que,O,4908,46,49,432,4,treino
58842,resultaram,O,4908,50,60,432,4,treino
58843,em,O,4908,61,63,432,4,treino
58844,um,O,4908,64,66,432,4,treino
58845,sabor,O,4908,67,72,432,4,treino
58846,único,O,4908,73,78,432,4,treino
58847,.,O,4908,78,79,432,4,treino
58848,Canana,B-NOME_BEBIDA,4909,0,6,432,4,treino
58849,desce,O,4909,7,12,432,4,treino
58850,suave,O,4909,13,18,432,4,treino
58851,e,O,4909,19,20,432,4,treino
58852,tem,O,4909,21,24,432,4,treino
58853,gostinho,O,4909,25,33,432,4,treino
58854,de,O,4909,34,36,432,4,treino
58855,quero,O,4909,37,42,432,4,treino
58856,mais,O,4909,43,47,432,4,treino
58857,.,O,4909,47,48,432,4,treino
58858,É,O,4910,0,1,432,4,treino
58859,ideal,O,4910,2,7,432,4,treino
58860,para,O,4910,8,12,432,4,treino
58861,compartilhar,O,4910,13,25,432,4,treino
58862,com,O,4910,26,29,432,4,treino
58863,os,O,4910,30,32,432,4,treino
58864,amigos,O,4910,33,39,432,4,treino
58865,",",O,4910,39,40,432,4,treino
58866,degustar,O,4910,41,49,432,4,treino
58867,",",O,4910,49,50,432,4,treino
58868,festejar,O,4910,51,59,432,4,treino
58869,ou,O,4910,60,62,432,4,treino
58870,até,O,4910,63,66,432,4,treino
58871,para,O,4910,67,71,432,4,treino
58872,fazer,O,4910,72,77,432,4,treino
58873,aquele,O,4910,78,84,432,4,treino
58874,‘’esquenta’’,O,4910,85,97,432,4,treino
58875,na,O,4910,98,100,432,4,treino
58876,balada,O,4910,101,107,432,4,treino
58877,.,O,4910,107,108,432,4,treino
58878,O,O,4911,0,1,432,4,treino
58879,sabor,O,4911,2,7,432,4,treino
58880,adocicado,B-CARACTERISTICA_SENSORIAL_SABOR,4911,8,17,432,4,treino
58881,de,O,4911,18,20,432,4,treino
58882,Canana,B-NOME_BEBIDA,4911,21,27,432,4,treino
58883,combina,O,4911,28,35,432,4,treino
58884,perfeitamente,O,4911,36,49,432,4,treino
58885,com,O,4911,50,53,432,4,treino
58886,diversos,O,4911,54,62,432,4,treino
58887,ingredientes,O,4911,63,75,432,4,treino
58888,que,O,4911,76,79,432,4,treino
58889,misturados,O,4911,80,90,432,4,treino
58890,criam,O,4911,91,96,432,4,treino
58891,sabores,O,4911,97,104,432,4,treino
58892,indescritíveis,O,4911,105,119,432,4,treino
58893,para,O,4911,120,124,432,4,treino
58894,seu,O,4911,125,128,432,4,treino
58895,drink,O,4911,129,134,432,4,treino
58896,.,O,4911,134,135,432,4,treino
58897,Compre,O,4912,0,6,432,4,treino
58898,com,O,4912,7,10,432,4,treino
58899,exclusividade,O,4912,11,24,432,4,treino
58900,aqui,O,4912,25,29,432,4,treino
58901,no,O,4912,30,32,432,4,treino
58902,site,O,4912,33,37,432,4,treino
58903,da,O,4912,38,40,432,4,treino
58904,Cachaçaria,B-NOME_ORGANIZACAO,4912,41,51,432,4,treino
58905,dos,I-NOME_ORGANIZACAO,4912,52,55,432,4,treino
58906,Amigos,I-NOME_ORGANIZACAO,4912,56,62,432,4,treino
58907,",",O,4912,62,63,432,4,treino
58908,Cachaça,O,4912,64,71,432,4,treino
58909,Canana,B-NOME_BEBIDA,4912,72,78,432,4,treino
58910,.,O,4912,78,79,432,4,treino
58911,Traga,O,4913,0,5,432,4,treino
58912,para,O,4913,6,10,432,4,treino
58913,a,O,4913,11,12,432,4,treino
58914,sua,O,4913,13,16,432,4,treino
58915,adega,O,4913,17,22,432,4,treino
58916,criatividade,O,4913,23,35,432,4,treino
58917,e,O,4913,36,37,432,4,treino
58918,sabor,O,4913,38,43,432,4,treino
58919,.,O,4913,43,44,432,4,treino
58920,NOME,O,4924,0,4,435,4,treino
58921,DA,O,4924,5,7,435,4,treino
58922,CACHAÇA,O,4924,8,15,435,4,treino
58923,:,O,4924,15,16,435,4,treino
58924,Cachaça,O,4924,17,24,435,4,treino
58925,Caraçuípe,B-NOME_BEBIDA,4924,25,34,435,4,treino
58926,Prata,B-CLASSIFICACAO_BEBIDA,4924,35,40,435,4,treino
58927,PREÇO,O,4925,0,5,435,4,treino
