Jornal	B-OBRA
pessoas	O
com	O
relação	O
a	O
preço	O
ainda	O
é	O
muito	O
curta.	O
Agora,	O
com	O
a	O
estabilização	O
do	O
real,	O
pode	O
ser	O
que	O
comece	O
a	O
renascer	O
esse	O
aspecto.	O
P	O
-	O
Seu	B-PESSOA
Gilberto	I-PESSOA
,	O
quais	O
seriam	O
os	O
produtos	O
compreendidos	O
como	O
armarinho	O
e	O
se	O
isso	O
mudou	O
ao	O
longo	O
do	O
tempo?	O
R	O
-	O
É,	O
armarinho	O
é	O
uma	O
palavra	O
muito	O
vaga,	O
né.	O
Eu	O
já	O
tentei	O
analisar	O
o	O
fundamento	O
dessa	O
palavra.	O
Na	O
realidade,	O
armarinho	O
ele	O
é	O
um	O
conglomerado	O
de	O
coisas,	O
das	O
quais	O
fazem	O
parte	O
os	O
artigos	O
de	O
costura,	O
que	O
o	O
termo	O
correto	O
é	O
aviamento.	O
Então,	O
o	O
armarinho	O
é	O
uma	O
somatória	O
de	O
aviamento	O
com	O
demais	O
outros	O
produtos	O
que	O
definem,	O
vamos	O
dizer,	O
uma	O
linha	O
mais	O
ampla	O
de	O
coisas.	O
É	O
difícil	O
você	O
dar	O
uma	O
definição	O
clara.	O
Por	O
exemplo,	O
baralho,	O
não	O
tem	O
nada	O
a	O
ver	O
com	O
costura,	O
para	O
uns	O
faz	O
parte	O
do	O
armarinho	O
;	O
bola	O
de	O
gude,	O
pião,	O
pião	O
de	O
soltar	O
com	O
a	O
corda,	O
...	O

pequenos	O
brinquedos,	O
algumas	O
coisinhas	O
de	O
plástico,	O
assim,	O
coisa	O
de...	O
jarra	O
plástica,...	O
e	O
vai	O
por	O
aí	O
afora,	O
é	O
um	O
sem	O
fim	O
de	O
itens,	O
né!	O
Na	O
realidade,	O
a	O
nossa	O
linha,	O
a	O
nossa	O
empresa	O
chama	O
Rei	B-ABSTRACCAO
do	I-ABSTRACCAO
Armarinho	I-ABSTRACCAO
,	O
mas	O
a	O
gente	O
não	O
trabalha	O
com	O
esses	O
ítens	O
que	O
eu	O
estou	O
mencionando.	O
É	O
só	O
para	O
dar	O
um	O
noção	O
de	O
amplitude.	O
P	O
-	O
Quais	O
são	O
exatamente	O
os	O
ítens?	O
R	O
-	O
A	O
gente	O
trabalha	O
muito	O
mais	O
voltado	O
para	O
costura.	O
A	O
nossa	O
linha	O
mais	O
específica	O
são	O
as	O
fitas,	O
rendas,	O
bordados,	O
galões,	O
linhas,	O
zíperes...	O
P	O
-...	O
elásticos...	O
R	O
-...elásticos,	O
cadarços,	O
cordões,	O
coisas	O
para	O
cortinas,	O
tipo	O
acessórios	O
para	O
cortina,	O
botões,	O
aliás,	O
botões	O
é	O
um	O
dos	O
pontos	O
fortes	O
nosso.	O
É	O
e,	O
à	O
medida	O
que	O
a	O
loja	O
foi	O
crescendo,	O
vamos	O
dizer,	O
foi	O
tendo	O
mais	O
espaço	O
para	O
que	O
a	O
gente	O
agregasse	O
novas	O
coisas.	O
Então,	O
numa	O
determinada	O
época	O
do	O
ano	O
a	O
gente	O
valoriza	O
um	O
pouco	O
o	O
material	O
escolar,	O
em	O
função	O
da	O
volta	O
às	O
aulas	O
;	O
no	O
carnaval	O
você	O
agrega	O
alguma	O
coisa	O
que	O
sirva	O
para	O
fantasias	O
etc.	O

;	O
no	O
Natal	B-TEMPO
você	O
se	O
especializa	O
colocando	O
enfeites	O
para	O
árvores,	O
guirlandas	O
etc.	O
Então	O
a	O
gente	O
complementa	O
o	O
armarinho	O
tradicional	O
ou	O
o	O
aviamento	O
tradicional	O
com	O
coisas	O
de	O
cada	O
época	O
do	O
ano.	O
Então,	O
isso	O
acaba	O
dando	O
uma	O
certa	O
movimentação	O
na,	O
na	O
atividade,	O
porque	O
uma	O
boa	O
parte	O
da	O
nossa	O
clientela	O
é	O
rotativa,	O
o	O
cliente	O
vem	O
hoje,	O
volta	O
cada	O
período.	O
Uns	O
semanalmente,	O
outros	O
mensalmente,	O
e	O
eles	O
vêm	O
na	O
expectativa	O
de	O
encontrar	O
alguma	O
coisa	O
para	O
aquela	O
ocasião	O
para	O
pôr	O
na	O
sua	O
loja,	O
ou	O
para	O
sua	O
necessidade	O
em	O
si.	O
P	O
-	O
Quantos	O
tipos	O
de	O
botão	O
o	O
senhor	O
vende,	O
mais	O
ou	O
menos?	O
R	O
-	O
Deve	O
ter	O
mais	O
de	O
mil.	O
Botão...	O
botão	O
tem	O
algumas	O
variantes	O
que	O
cabe	O
frisar.	O
Botão,	O
além	O
de	O
existir	O
de	O
diversos	O
tamanhos,	O
existem	O
diversas	O
cores,	O
existem	O
diversos	O
materiais:	O
existe	O
botão	O
de	O
plástico,	O
de	O
metal,	O
de	O
alumínio,	O
botão	O
para	O
forrar...	O
tem	O
uma	O
variedade	O
enorme	O
de	O
tipos!	O
E	O
existe	O
o	O
dourado,	O
o	O
prateado,	O
existe	O
o	O
mesclado,	O
entre	O
cor	O
e	O
dourado,	O
cor	O
e	O
prateado.	O

Então,	O
para	O
que	O
a	O
gente	O
possa	O
ter	O
toda	O
essa	O
variedade,	O
você	O
precisa	O
ter	O
uma	O
área	O
bem	O
grande	O
e...	O
e	O
precisa	O
ter	O
um	O
sortimento	O
bem	O
grande	O
para	O
que	O
você	O
possa	O
atender	O
todas	O
as	O
necessidades	O
e	O
para	O
que	O
as	O
pessoas	O
possam	O
se	O
direcionar	O
para	O
lá	O
na	O
expectativa	O
de	O
encontrar	O
o	O
que	O
deseja.	O
P	O
-	O
O	O
senhor	O
estava	O
falando	O
do	O
armarinho	O
na	O
época	O
que	O
o	O
senhor	O
começou	O
a	O
trabalhar,	O
quer	O
dizer,	O
eram	O
os	O
balcões,	O
né...	O
R	O
-...	O
é,	O
eram	O
os	O
balcões...	O
P	O
-...e	O
a	O
mercadoria	O
não	O
ficava	O
exposta	O
da	O
forma	O
que,	O
por	O
exemplo,	O
visitando	O
a	O
loja	O
do	O
senhor	O
hoje,	O
está...	O
R	O
-	O
É,	O
hoje	O
é	O
praticamente	O
um	O
auto-serviço.	O
Na	O
época	O
as	O
pessoas	O
se	O
dirigiam	O
aos	O
vendedores	O
e	O
o	O
vendedor	O
tomava	O
nota	O
do	O
pedido,	O
não	O
separava	O
na	O
hora.	O
Então,	O
o	O
cliente	O
perguntava	O
quanto	O
custa	O
tal	O
produto,	O
se	O
servisse	O
a	O
quantidade	O
ele	O
dizia	O
quanto	O
queria	O
comprar	O
e...	O
e	O
o	O
vendedor	O
anotava	O
num	O
bloco	O
para	O
separar	O
a	O
mercadoria	O
no	O
estoque	O
posteriormente.	O

Era	O
uma	O
praxe	O
da	O
época.	O
Depois,	O
à	O
medida	O
que	O
os	O
anos	O
foram	O
passando,	O
o	O
cliente	O
passou	O
a	O
ter	O
mais	O
pressa,	O
queria	O
levar	O
a	O
mercadoria	O
com	O
ele,	O
então	O
nós	O
passamos	O
a	O
adotar	O
um	O
sistema	O
de	O
carrinho	O
de	O
supermercado.	O
P	O
-	O
Quando	O
que	O
foi?	O
R	O
-	O
Isso	O
foi	O
mais	O
ou	O
menos	O
por	O
volta	O
de	O
1970	B-TEMPO
/	O
69	B-TEMPO
.	O
Nós	O
fomos	O
a	O
primeira	O
empresa	O
a	O
adotar,	O
no	O
atacado,	O
essa	O
prática.	O
Inclusive	O
o	O
cliente,	O
o	O
cliente	O
homem,	O
se	O
sentia	O
inibido	O
de	O
puxar,	O
de	O
empurrar	O
o	O
carrinho,	O
né.	O
Quando	O
era	O
mulher	O
era	O
mais	O
fácil,	O
porque	O
já	O
tinha	O
o	O
hábito	O
do	O
supermercado	O
;	O
mas	O
o	O
homem,	O
a	O
gente	O
tinha	O
que,	O
a	O
gente	O
empurrar	O
o	O
carrinho	O
para	O
ele	O
porque	O
(riso)	O
o	O
machismo	O
não	O
permitia	O
isso!	O
E	O
depois,	O
pouco	O
a	O
pouco	O
foi	O
se	O
quebrando	O
essa	O
barreira.	O
O	O
cliente	O
tinha	O
mais	O
pressa,	O
é...	O
então	O
ele	O
ia...	O
nós	O
fomos	O
gradativamente	O
transformando	O
a	O
loja	O
para	O
que	O
ele	O
tivesse	O
acesso	O
ao	O
produto.	O
Fomos	O
substituindo	O
os	O
balcões,	O
gaveteiros,	O
por	O
mercadoria	O
exposta.	O

Isso	O
foi	O
uma	O
transformação	O
muito	O
acentuada	O
na	O
época,	O
e	O
que	O
depois	O
todos	O
os	O
concorrentes	O
acabaram	O
copiando	O
a	O
gente.	O
E	O
hoje,	O
vamos	O
dizer,	O
a	O
gente	O
também	O
copiando	O
os	O
sistemas	O
internacionais,	O
...	O
quanto	O
mais	O
a	O
mercadoria	O
estiver	O
ao	O
alcance	O
do	O
cliente,	O
vamos	O
dizer,	O
maior	O
a	O
probabilidade	O
de	O
compra.	O
O	O
cliente	O
hoje	O
compra	O
muito	O
por	O
impulso,	O
né?	O
E	O
as	O
pessoas,	O
vamos	O
dizer,	O
se	O
sentem	O
também	O
um	O
certo	O
ponto,	O
até	O
um	O
certo	O
ponto	O
inibidas	O
em	O
ficar	O
perguntando	O
a	O
todo	O
instante:	O
"Onde	O
está	O
isso,	O
onde	O
está	O
aquilo.	O
"	O
Então,	O
ele	O
passeando	O
com	O
o	O
carrinho	O
por	O
dentro	O
da	O
empresa	O
e	O
tendo	O
os	O
preços	O
marcados	O
e	O
a	O
especificação	O
técnica	O
do	O
produto,	O
ele	O
acaba	O
se	O
sentindo	O
mais	O
à	O
vontade	O
para	O
pegar	O
a	O
quantidade	O
que	O
deseja,	O
então	O
a	O
gente	O
já	O
não	O
trabalha	O
nem	O
com	O
vendedores,	O
hoje	O
a	O
gente	O
trabalha	O
com	O
coordenadores	O
de	O
área,	O
que	O
orientam	O
o	O
cliente,	O
ou	O
dão	O
alguma	O
informação	O
técnica.	O
Mas	O
é	O
praticamente	O
o	O
cliente	O
que	O
compra,	O
não	O
é	O
o	O
vendedor	O
que	O
vende.	O

P	O
-	O
Eu	O
queria	O
que	O
o	O
senhor	O
falasse	O
um	O
pouco	O
da	O
disposição	O
da	O
loja	O
atual,	O
quer	O
dizer...	O
o	O
dia	O
em	O
que	O
eu	O
visitei,	O
eu	O
percebí	O
que	O
existia	O
em	O
vários	O
setores	O
o	O
nome	O
do	O
coordenador	O
da	O
área.	O
R	O
-	O
Exatamente.	O
P	O
-	O
Como	O
é	O
que	O
funciona	O
isso?	O
R	O
-	O
A	O
área,	O
ela	O
é	O
dividida	O
geograficamente	O
em	O
oito	O
partes.	O
Cada	O
uma	O
dessas	O
partes	O
tem	O
um	O
coordenador	O
de	O
área,	O
e	O
esse	O
coordenador	O
de	O
área,	O
nós	O
fizemos	O
um	O
quadro	O
com	O
a	O
fotografia	O
dele	O
e	O
o	O
nome	O
dele	O
e	O
o	O
nome	O
do	O
assistente	O
dele.	O
Então,	O
pelo	O
nosso	O
lado,	O
pela	O
parte	O
técnica,	O
ele	O
é	O
obrigado	O
a	O
conhecer	O
absolutamente	O
tudo	O
a	O
respeito	O
dos	O
produtos	O
que	O
estão	O
na	O
sua	O
área.	O
Então,	O
se	O
alguma	O
pessoa	O
vier	O
comprar	O
na	O
loja	O
ou	O
querer	O
uma	O
informação	O
a	O
respeito	O
de	O
algum	O
daqueles	O
ítens	O
que	O
estão	O
na	O
sua	O
área,	O
ele	O
é	O
obrigado	O
a	O
saber	O
se	O
tem	O
em	O
estoque,	O
se	O
não	O
tem,	O
quando	O
vai	O
chegar,	O
qual	O
é	O
a	O
composição	O
desse	O
material,	O
enfim,	O
qualquer	O
detalhe	O
técnico,	O
inclusive	O
a	O
nível	O
de	O
concorrência,	O
ele	O
é	O
obrigado	O
a	O
estar	O
100%	B-VALOR
informado	O
a	O
respeito	O
para	O
poder	O
passar	O
essa	O
informação	O
para	O
o	O
cliente.	O

Dentro	O
da	O
nossa	O
filosofia,	O
é	O
mais	O
fácil	O
cada	O
coordenador	O
conhecer	O
um	O
pedaço	O
da	O
loja	O
bem,	O
do	O
que	O
querer	O
que	O
todos	O
conheçam	O
tudo.	O
Então,	O
com	O
isso	O
nós	O
formamos	O
oito	O
experts,	O
um	O
para	O
cada	O
área,	O
e	O
como	O
substituto	O
têm	O
seus	O
assistentes,	O
que	O
na	O
sua	O
ausência,	O
nas	O
suas	O
férias,	O
ou	O
por	O
qualquer	O
motivo	O
de	O
substituição,	O
o	O
assistente	O
sabe	O
dar	O
as	O
mesmas	O
informações.	O
E	O
a	O
cada	O
seis	O
meses,	O
aproximadamente,	O
nós	O
mudamos	O
as	O
pessoas	O
de	O
área,	O
para	O
que	O
também	O
não	O
fiquem	O
excessivamente	O
bitoladas.	O
Então,	O
com	O
isso,	O
a	O
gente	O
vai	O
se	O
aprofundando.	O
Esses	O
coordenadores	O
ajudam	O
a	O
comprar	O
mercadoria,	O
ajudam	O
a	O
dizer	O
o	O
que	O
não	O
está	O
vendendo	O
muito,	O
ajudam	O
a	O
informar	O
o	O
departamento	O
de	O
compras	O
o	O
que	O
estão	O
pedindo	O
mais,	O
qual	O
é	O
a	O
tendência	O
da	O
evolução	O
daqueles	O
produtos.	O
E	O
com	O
isso	O
a	O
comunicação	O
fica	O
muito	O
mais	O
estreita	O
entre	O
compras	O
e	O
vendas.	O
Isso	O
ajuda	O
a	O
formar	O
uma	O
parceria	O
no	O
sentido	O
de	O
decisão.	O
P	O
-	O
Seu	B-PESSOA
Gilberto	I-PESSOA
,	O
como	O
que	O
a,	O
a	O
região	O
da	O
25	B-LOCAL
de	I-LOCAL
Março	I-LOCAL
começou	O
a	O
ficar	O
caracterizada	O
como	O
região	O
de	O
armarinhos	O
e	O
de	O
tecidos?	O
E	O
a	O
ordem,	O
né,	O
armarinho,	O
tecidos.	O

R	O
-	O
Isso	O
já	O
é	O
de	O
longa	O
data.	O
Bem	O
antes	O
de	O
eu	O
nascer	O
já	O
era	O
assim.	O
E...	O
aliás	O
eu	O
diria	O
o	O
seguinte,	O
que	O
há	O
muito	O
tempo	O
atrás,	O
ela	O
era	O
muito	O
forte	O
e	O
muito	O
expressiva	O
com	O
relação	O
a	O
armarinhos	O
e	O
tecidos,	O
talvez	O
alguma	O
pouca	O
coisa	O
a	O
mais	O
que	O
isso.	O
Inclusive	O
era	O
uma	O
região	O
extremamente	O
menor	O
do	O
que	O
é	O
hoje.	O
Hoje	O
tem	O
muitas	O
das	O
ruas	O
que	O
fazem	O
parte	O
das	O
adjacências	O
da	O
25	B-LOCAL
de	I-LOCAL
Março	I-LOCAL
,	O
se	O
transformaram	O
em	O
lojas	O
também,	O
mas	O
na	O
época	O
que	O
eu	O
comecei	O
a	O
trabalhar	O
em	O
64	B-TEMPO
,	O
a	O
Barão	B-LOCAL
de	I-LOCAL
Duprat	I-LOCAL
,	O
a	O
Rua	B-LOCAL
Cantareira	I-LOCAL
eram	O
lojas	O
de	O
frutas.	O
Era	O
um	O
anexo	O
do	O
mercado,	O
e	O
não	O
um	O
anexo	O
da	O
25	B-LOCAL
de	I-LOCAL
Março	I-LOCAL
.	O
Então,	O
hoje...	O
isso	O
cresceu	O
bastante,	O
hoje	O
você	O
tem	O
nesses	O
prédio	O
lojas	O
em	O
andares,	O
coisa	O
que	O
antigamente	O
não	O
funcionava.	O
Hoje,	O
cada	O
pedacinho	O
é	O
bem	O
ocupado	O
e	O
com	O
a	O
maior	O
variedade	O
possível	O
de	O
ramos	O
diferentes.	O
Você	O
tem:	O
bijuterias,	O
brinquedos,	O
agora	O
então	O
que	O
abriu	O
a	O
importação,	O
você	O
tem	O
de	O
tudo!	O
Você	O
tem...	O

as	O
coisas	O
mais	O
variadas	O
possíveis	O
em	O
termos	O
de	O
quinquilharias	O
em	O
geral,	O
além	O
do	O
tecido	O
e	O
do	O
armarinho.	O
P	O
-	O
O	O
seu	O
pai	O
quando	O
começou	O
ele	O
era	O
mascate	O
especificamente	O
de	O
alguns	O
ítens	O
de	O
armarinho?	O
R	O
-	O
Não,	O
meu	O
pai	O
não	O
começou	O
como	O
mascate.	O
Os	O
irmãos	O
dele	O
mais	O
velhos	O
que	O
começaram	O
como	O
mascate.	O
Quando	O
meu	O
pai	O
veio,	O
ele	O
já	O
pegou	O
a	O
situação	O
um	O
pouquinho	O
melhor.	O
P	O
-	O
Já	O
como	O
loja?	O
R	O
-	O
É.	O
Ele	O
trabalhou	O
com	O
os	O
irmãos	O
um	O
tempo,	O
porque	O
os	O
irmãos	O
começaram	O
como	O
mascates,	O
ganharam	O
algum	O
dinheiro,	O
conseguiram	O
se	O
estabelecer,	O
meu	O
pai	O
foi	O
trabalhar	O
com	O
eles	O
um	O
tempo,	O
e	O
depois	O
adquiriu	O
uma	O
loja	O
e	O
começou	O
já	O
com	O
uma	O
idade	O
um	O
pouquinho	O
maior.	O
P	O
-	O
E	O
eles	O
mascateavam	O
no	O
interior	O
de	O
São	B-LOCAL
Paulo	I-LOCAL
?	O
R	O
-	O
Mascateavam	O
pelo	O
interior.	O
P	O
-	O
Vendendo,	O
também,	O
ítens	O
de	O
armarinho?	O
R	O
-	O
Isso,	O
armarinho,	O
alguma	O
coisa	O
de	O
tecido.	O
P	O
-	O
No	O
caso	O
da	O
loja	O
do	O
pai	O
do	O
senhor,	O
quando	O
ele	O
fundou,	O
qual	O
que	O
era	O
a	O
mercadoria...	O

não	O
tinha	O
essa	O
diversidade	O
de	O
hoje...	O
R	O
-	O
Era	O
bem	O
mais	O
restrito.	O
Uma	O
das	O
mercadorias	O
dita	O
por	O
ele,	O
porque	O
eu	O
não	O
tenho	O
o	O
histórico	O
disso,	O
era	O
Linhas	B-COISA
Corrente	I-COISA
.	O
Então,	O
antigamente	O
se	O
vendia	O
muito	O
Linha	B-COISA
Cruz	I-COISA
.	O
Linha	B-COISA
Cruz	I-COISA
era	O
um	O
produto	O
extremamente	O
utilizado.	O
É	O
uma	O
linha	O
de	O
carretel	O
que	O
se	O
usa	O
até	O
hoje,	O
em	O
menor	O
escala.	O
Aquilo	O
se	O
vendia	O
de	O
caixa,	O
de	O
caixotes	O
fechados.	O
Eram	O
poucos	O
produtos	O
mas	O
esses	O
produtos	O
eram	O
vendidos	O
em	O
larga	O
escala,	O
era	O
realmente	O
um	O
atacado.	O
Se	O
vendia	O
alguma	O
coisa	O
de	O
perfumaria,	O
tipo	O
Leite	B-COISA
de	I-COISA
Rosas	I-COISA
,...	O
alguma	O
coisa	O
a	O
nível	O
de	O
fraldas,...	O
que	O
mais?	O
Botão	O
de	O
calça.	O
Hoje	O
calça	O
nenhuma	O
usa	O
mais	O
botão,	O
todos	O
foram	O
substituídos	O
pelo	O
zíper,	O
mas	O
existe	O
um	O
botão,	O
ainda	O
existe	O
hoje,	O
meio...que	O
é	O
o	O
botão	O
200	B-VALOR
por	I-VALOR
22	I-VALOR
,	O
é	O
a	O
referência	O
dele,	O
tamanho	O
22	B-VALOR
,	O
que	O
era	O
vendido,	O
vamos	O
dizer,	O
em	O
embalagens	O
enormes!	O
A	O
gente,	O
para	O
ter	O
uma	O
noção	O
de	O
tamanho,	O
embalava	O
essas	O
compras	O
em	O
caixa	O
de	O
geladeira,	O
que	O
era...	O

as	O
geladeiras	O
antigamente	O
eram	O
embaladas	O
em,	O
em	O
caixa	O
de	O
madeira,	O
e	O
a	O
gente	O
comprava,	O
quer	O
dizer,	O
eles	O
compravam	O
caixa	O
de	O
geladeira	O
usada,	O
caixa	O
de	O
madeira	O
usada,	O
para	O
embalar	O
geladeira,	O
para	O
embalar	O
os	O
armarinhos,	O
para	O
despachar	O
paras	O
longas	O
distâncias,	O
né.	O
P	O
-	O
Quantidade	O
enorme...	O
R	O
-	O
Era	O
uma	O
quantidade	O
grande	O
para	O
compensar	O
a	O
viagem,	O
né?	O
O	O
cliente	O
vinha,	O
duas,	O
três	O
vezes	O
por	O
ano,	O
né.	O
Avião	O
era	O
precário,...	O
transporte	O
de	O
ônibus	O
era	O
sem	O
asfalto,	O
então,	O
tinha	O
uma	O
série	O
de	O
dificuldades.	O
O	O
cara	O
quando	O
vinha	O
para	O
São	B-LOCAL
Paulo	I-LOCAL
fazer	O
compras	O
era	O
uma	O
aventura!	O
P	O
-	O
E,	O
no	O
caso,	O
tanto	O
o	O
pai	O
do	O
senhor,	O
quanto	O
o	O
senhor	O
sempre	O
trabalharam	O
com	O
varejo	O
e	O
com	O
atacado?	O
R	O
-	O
Não,	O
antigamente	O
a	O
loja	O
era	O
bem	O
direcionada	O
a	O
atacado.	O
Depois,	O
com	O
o	O
decorrer	O
dos	O
anos,	O
o	O
perfil	O
da	O
25	B-LOCAL
de	I-LOCAL
Março	I-LOCAL
foi	O
mudando,	O
foi	O
ficando	O
misto.	O
A	O
própria	O
Rua	B-LOCAL
25	I-LOCAL
de	I-LOCAL
Março	I-LOCAL
ela	O
hoje	O
é	O
uma	O
rua	O
de	O
varejo.	O

As	O
travessas	O
ainda	O
conseguem	O
ter	O
algum	O
atacado.	O
Por	O
exemplo,	O
se	O
a	O
nossa	O
loja	O
hoje	O
estivesse	O
na	O
Rua	B-LOCAL
25	I-LOCAL
de	I-LOCAL
Março	I-LOCAL
,	O
ela	O
jamais	O
poderia	O
ser	O
do	O
jeito	O
que	O
é,	O
teria	O
que	O
se	O
adaptar	O
a	O
um	O
perfil	O
diferente.	O
P	O
-	O
Qual	O
que	O
é	O
essa	O
diferença?	O
R	O
-	O
A	O
diferença	O
é	O
a	O
seguinte:	O
a	O
25	B-LOCAL
de	I-LOCAL
Março	I-LOCAL
é	O
uma	O
rua	O
que...	O
é	O
extremamente	O
mais	O
populosa,	O
vamos	O
dizer;	O
a	O
quantidade	O
de	O
pessoas	O
que	O
passa	O
por,	O
por	O
minuto,	O
ou	O
por	O
hora,	O
é	O
extremamente	O
maior	O
do	O
que	O
as	O
travessas;	O
as	O
travessas	O
selecionam	O
um	O
pouco	O
mais.	O
Então,	O
se	O
vocês	O
observarem,	O
a	O
25	B-LOCAL
de	I-LOCAL
Março	I-LOCAL
,	O
é	O
uma	O
rua	O
que	O
a	O
grande	O
maioria	O
das	O
lojas	O
se	O
adaptou	O
colocando	O
bancas	O
com	O
ofertas	O
na	O
porta,	O
e,	O
assim,	O
pegando	O
um	O
público	O
de	O
classe	O
mais...	O
classe	O
D,	O
classe	O
E,	O
vendendo	O
mais	O
coisas	O
de	O
oferta.	O
Enquanto	O
que	O
as	O
travessas	O
conseguem	O
selecionar	O
um	O
pouquinho	O
melhor	O
o	O
tipo	O
de	O
estrutura	O
e	O
o	O
tipo	O
de	O
gente	O
que	O
entra	O
para	O
comprar.	O

P	O
-	O
Eu	O
queria	O
que	O
o	O
senhor	O
falasse	O
um	O
pouco	O
dessa	O
clientela,	O
da	O
mudança,	O
das	O
transformações.	O
R	O
-	O
Bom,	O
aí	O
tem	O
diversos	O
clientes,	O
diversos	O
perfis.	O
Nós	O
temos	O
o	O
cliente	O
de	O
bazar,	O
o	O
cliente	O
que	O
compra	O
para	O
revender	O
no	O
varejo,	O
e	O
que,	O
vamos	O
dizer,	O
é	O
cliente	O
de	O
longo	O
tempo	O
com	O
a	O
gente,	O
então	O
ele	O
é	O
um	O
cliente	O
que	O
se	O
sente	O
em	O
casa,	O
dentro	O
da	O
nossa	O
loja;	O
é	O
um	O
cliente	O
que	O
compra	O
sem	O
a	O
menor	O
dificuldade,	O
sem	O
ninguém	O
precisar	O
atendê-lo,	O
é	O
um	O
perfil.	O
Nós	O
temos	O
o	O
confeccionista;	O
o	O
confeccionista	O
é	O
um	O
cliente	O
mais	O
exigente,	O
ele	O
vem	O
especificamente	O
para	O
procurar	O
determinado	O
produto,	O
para	O
coleção	O
que	O
ele	O
está	O
lançando,	O
ou	O
vem...	O
...	O
olhar	O
o	O
que	O
existe	O
para	O
poder	O
desenhar	O
a	O
coleção	O
que	O
ele	O
vai	O
desenvolver.	O
Então	O
ele	O
precisa	O
de	O
um	O
atendimento	O
personalizado.	O
E	O
nós	O
temos	O
o	O
público	O
de	O
passagem,	O
o	O
público	O
que	O
vem	O
na	O
região,	O
vamos	O
dizer,	O
sabendo	O
que	O
a	O
Rua	B-LOCAL
25	I-LOCAL
de	I-LOCAL
Março	I-LOCAL
é	O
uma	O
rua	O
que	O
vende	O
mais	O
em	O
conta,	O
e...	O

até	O
pela	O
tradição,	O
pela,	O
vamos	O
dizer,	O
pelo	O
conhecimento	O
da	O
nossa	O
loja,...	O
as	O
pessoas	O
vêm	O
até	O
lá	O
para,	O
para	O
ver	O
se	O
conseguem	O
achar	O
alguma	O
coisa	O
diferenciada	O
e	O
mais	O
em	O
conta	O
para,	O
para	O
seu	O
próprio	O
uso	O
e	O
consumo.	O
Então,	O
a	O
gente	O
tem	O
um	O
público	O
bem	O
expressivo,	O
hoje.	O
Vamos	O
dizer,	O
hoje	O
a	O
gente	O
tem	O
um	O
misto	O
entre	O
o	O
cliente	O
lojista,	O
o	O
cliente	O
confeccionista	O
e	O
o	O
próprio	O
consumidor.	O
Nós	O
atendemos	O
uma	O
média	O
de	O
1.800	B-VALOR
a	I-VALOR
2.000	I-VALOR
pessoas	O
por	O
dia,	O
que	O
compram	O
na	O
loja.	O
E	O
a	O
gente	O
tem	O
uma	O
estimativa	O
de	O
que	O
entram	O
na	O
loja	O
aproximadamente	O
2.800	B-VALOR
a	I-VALOR
3.000	I-VALOR
pessoas.	O
E	O
nessa	O
época	O
do	O
ano,	O
agora	O
em	O
novembro/dezembro	B-TEMPO
|	O
novembro	B-TEMPO
/	O
dezembro	B-TEMPO
,	O
a	O
gente	O
tem	O
uma	O
estimativa	O
de	O
que	O
chega	O
a	O
entrar	O
quase	O
4.000	B-VALOR
pessoas/dia.	O
É	O
um	O
público	O
extremamente	O
diverso.	O
E	O
a	O
gente,	O
em	O
determinados	O
períodos,	O
em	O
função	O
do	O
que	O
eu	O
falei	O
anteriormente,	O
quando	O
a	O
gente	O
coloca	O
produtos	O
de	O
época,	O
a	O
gente	O
agrega	O
outras	O
atividades.	O

Por	O
exemplo,	O
agora,	O
com...	O
nas	O
proximidades	O
do	O
Natal	B-TEMPO
,	O
a	O
gente	O
tem	O
vendido	O
muito	O
para	O
shopping	O
centers,	O
para	O
fazer	O
a	O
decoração	O
de	O
shopping	O
centers,	O
para	O
fazer	O
a	O
decoração	O
de	O
prédios,	O
para	O
fazer	O
a	O
decoração	O
de	O
consultórios,	O
escritórios,	O
que	O
são	O
clientes	O
especificamente	O
dessa	O
época,	O
são	O
clientes	O
que	O
não	O
compram	O
da	O
gente	O
o	O
resto	O
do	O
ano.	O
E	O
que	O
acabam	O
tomando	O
conhecimento	O
através	O
de	O
algum	O
anúncio,	O
através	O
de	O
alguma	O
informação,	O
ou	O
de	O
algum	O
colega,	O
ou	O
de	O
algum	O
conhecido,	O
ou	O
às	O
vezes,	O
eventualmente,	O
até	O
através	O
de	O
alguma	O
reportagem.	O
P	O
-	O
O	O
senhor	O
falou	O
de	O
anúncio.	O
Eu	O
queria	O
que	O
o	O
senhor	O
falasse	O
sobre	O
a	O
questão	O
do	O
marketing	O
da	O
empresa	O
do	O
senhor.	O
Vocês	O
trabalharam	O
com	O
isso,	O
quando	O
que	O
foi	O
a	O
primeira,	O
a	O
primeira	O
propaganda	O
do	O
Rei	B-ORGANIZACAO
do	I-ORGANIZACAO
Armarinho	I-ORGANIZACAO
...	O
R	O
-	O
Bom,	O
a	O
primeira	O
propaganda	O
eu	O
não	O
conheço,	O
não	O
saberia	O
precisar	O
para	O
você,	O
mas	O
eu	O
já	O
participei	O
de	O
algumas	O
promoções	O
e	O
propagandas	O
que	O
nós	O
fizemos.	O
Nós	O
fizemos	O
uma	O
coisa	O
bonita	O
quando	O
a	O
empresa	O
completou	O
50	B-VALOR
anos	I-VALOR
,	O
em	O
1976	B-TEMPO
.	O

Foi	O
pela	O
primeira	O
vez,	O
